"Year","RecreationVisitors","parkName","lon","lat","address"
"2016",3303393,"Acadia ",-68.2733346,44.3385559,"acadia national park, maine, usa"
"2016",1585718,"Arches ",-109.5925139,38.733081,"arches national park, utah, usa"
"2016",996263,"Badlands ",-102.3396912,43.8553804,"badlands national park, south dakota, usa"
"2016",388290,"Big Bend ",-103.2425379,29.1274869,"big bend national park, tx, usa"
"2016",514709,"Biscayne ",-80.2083103,25.4824229,"biscayne national park, florida, usa"
"2016",238018,"Black Canyon of the Gunnison ",-107.7415961,38.5753936,"black canyon of the gunnison national park, colorado, usa"
"2016",2365110,"Bryce Canyon ",-112.1870895,37.5930377,"bryce canyon national park, utah, usa"
"2016",776218,"Canyonlands ",-109.8782592,38.3268693,"canyonlands national park, utah, usa"
"2016",1064904,"Capitol Reef ",-111.2615042,38.3669703,"capitol reef national park, utah, usa"
"2016",466773,"Carlsbad Caverns ",-104.5567138,32.1478553,"carlsbad caverns national park, new mexico 88220, usa"
"2016",364807,"Channel Islands ",-119.7099239,34.002611,"channel islands national park, ventura, ca 93001, usa"
"2016",143843,"Congaree ",-80.7810621,33.7925492,"congaree national park, 100 national park rd, hopkins, sc 29061, usa"
"2016",756344,"Crater Lake ",-122.1684785,42.8684411,"crater lake national park, oregon, usa"
"2016",2423390,"Cuyahoga Valley ",-81.567812,41.2808248,"cuyahoga valley national park, ohio, usa"
"2016",1296283,"Death Valley ",-117.0794078,36.5053891,"death valley national park, united states"
"2016",587412,"Denali  ",-151.1926057,63.1148002,"denali national park and preserve, george parks hwy, denali national park and preserve, ak, usa"
"2016",73661,"Dry Tortugas ",-82.8731874,24.628477,"dry tortugas national park, florida, usa"
"2016",930907,"Everglades ",-80.8986509,25.2866155,"everglades national park, florida, usa"
"2016",10047,"Gates of the Arctic  ",-153.4637908,67.9146297,"gates of the arctic national park and preserve, airport rd, bettles, ak 99726, usa"
"2016",2946681,"Glacier ",-113.7870225,48.7596128,"glacier national park, montana, usa"
"2016",520171,"Glacier Bay  ",-136.9002147,58.6658073,"glacier bay national park and preserve, alaska, usa"
"2016",5969811,"Grand Canyon ",-112.1129972,36.1069652,"grand canyon national park, arizona, usa"
"2016",3270076,"Grand Teton ",-110.6817627,43.7904282,"grand teton national park, wyoming, usa"
"2016",144846,"Great Basin ",-114.3,38.983333,"great basin national park, nevada, usa"
"2016",388308,"Great Sand Dunes  ",-105.5943276,37.7915959,"great sand dunes national park and preserve, colorado, usa"
"2016",11312786,"Great Smoky Mountains ",-83.4895449,35.6117644,"great smoky mountains national park, united states"
"2016",181839,"Guadalupe Mountains ",-104.8725221,31.94519,"guadalupe mountains national park, salt flat, tx 79847, usa"
"2016",1263558,"Haleakala ",-156.1551524,20.7203826,"haleakalā national park, hawaii, usa"
"2016",1887580,"Hawaii Volcanoes ",-155.2884969,19.4193697,"hawaiʻi volcanoes national park, hawaii volcanoes national park, hi 96718, usa"
"2016",1544300,"Hot Springs ",-93.0423545,34.5216915,"hot springs national park, hot springs, ar 71901, usa"
"2016",24966,"Isle Royale ",-88.9092899,47.9958654,"isle royale national park, michigan, usa"
"2016",2505286,"Joshua Tree ",-115.9009923,33.873415,"joshua tree national park, california, usa"
"2016",37818,"Katmai  ",-154.6937285,58.5975286,"katmai national park and preserve, king salmon, ak 99613, usa"
"2016",346534,"Kenai Fjords ",-149.8163645,60.0437764,"kenai fjords national park, alaska, usa"
"2016",607479,"Kings Canyon ",-118.5551477,36.8878548,"kings canyon national park, california, usa"
"2016",15500,"Kobuk Valley ",-159.1243161,67.3356197,"kobuk valley national park, 171 3rd ave, kotzebue, ak 99752, usa"
"2016",21102,"Lake Clark  ",-154.3234955,60.4126957,"lake clark national park and preserve, general delivery,, port alsworth, ak 99653, united states"
"2016",536068,"Lassen Volcanic ",-121.4206552,40.49766,"lassen volcanic national park, california, usa"
"2016",586514,"Mammoth Cave ",-86.100528,37.1869978,"mammoth cave national park, kentucky, usa"
